Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
EYLAM*,"Entergy Louisiana,",5.16%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
EYLAN*,"Entergy Louisiana,",4.96%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
EYLAO*,"Entergy Louisiana,",4.44%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
EYLAP*,"Entergy Louisiana,",4.16%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
TLX.C*,"Trans-Lux Corp.,",7 1/2%,No,No,Yes,No,Convertible Subordinated Notes due 12/1/2006,12/01/03,6/15/06
GLR-A*,"G&amp;L Realty Corp.,",10.25%,Yes,No,No,No,Series A Cumulative Preferred Stock,6/01/01,6/08/06
GLR-B*,"G&amp;L Realty Corp.,",9.80%,Yes,No,No,No,Series B Cumulative Preferred Stock,1/01/02,6/08/06
SIPFO*,"Sierra Pacific Power Co.,",7.80%,No,No,No,No,Series I Preferred Stock,N/A,6/01/06
MDVFP*,"Massachusetts Devel Finance Agency,",7.00%,No,No,No,No,Qrtly Interest Bkd Sec due 8/15/2031,5/24/06,5/24/06
HST-C*,"Host Hotels &amp; Resorts Inc.,",10.0%,Yes,No,No,Yes,Class C Cumul Redeem Preferred Stock,3/27/06,5/19/06
TCO-A*,"Taubman Centers,",8.30%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,10/03/02,5/18/06
PCR-*,Perini Corp.,$2.125,No,No,Yes,No,Convertible Exch Preferred Depositary Shares,N/A,5/17/06
PSB-D*,"PS Business Parks,",9.50%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series D",5/10/06,5/10/06
CIN-B*,"PSI Energy, Inc.,",4.16%,Yes,No,No,No,Cumulative Preferred Stock,N/A,5/01/06
CIN-C*,"PSI Energy, Inc.,",4.32%,Yes,No,No,No,Cumulative Preferred Stock,N/A,5/01/06
CINHP*,"PSI Energy, Inc.,",3 1/2%,Yes,No,No,No,Cumulative Preferred Stock,N/A,5/01/06
EGYKN*,"Entergy Arkansas,",7.88%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,4/24/06
EGYKO*,"Entergy Arkansas,",7.80%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,4/24/06
EGRKL*,"Entergy Arkansas,",7.32%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,4/24/06
EGRKO*,"Entergy Arkansas,",7.40%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,4/24/06
NIPSM*,"Northern Indiana Public Service Co.,",4 1/2%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/14/06
NIPSN*,"Northern Indiana Public Service Co.,",7.50%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/14/06
NIPSO*,"Northern Indiana Public Service Co.,",4.22%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/14/06
NIPSP*,"Northern Indiana Public Service Co.,",7.44%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/14/06
NIPVO*,"Northern Indiana Public Service Co.,",4.88%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/14/06
NI-*,"Northern Indiana Public Service Co.,",4 1/4%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/14/06
SQA-*,"Sequa Corp.,",$5.00,Yes,No,Yes,No,Cumul Convertible Preferred Stock,N/A,4/14/06
AW-C*,"Allied Waste Industries,",6 1/4%,No,No,Yes,No,Series C Senior Mand Conv Preferred Stock,4/01/06,4/01/06
JPM-H*,"J. P. Morgan &amp; Co. Inc., Dep Shares",6 5/8%,Yes,No,No,No,Cumul Preferred Stock H,3/31/06,3/31/06
PATDP*,"Patapsco Bancorp Inc.,",7.50%,No,Yes,Yes,No,Non-cumul Perp Convertible Preferred Stock,11/13/05,3/31/06
CHK-A*,"Chesapeake Energy Corp.,",6.00%,Yes,No,Yes,No,Cumulative Convertible Preferred Stock,3/20/06,3/20/06
AIV-Q*,"Apartment Investment &amp; Management,",10.10%,Yes,No,No,No,Class Q Cumul Preferred Stock,3/19/06,3/19/06
ACIZP*,"Arch Coal Inc.,",5%,Yes,Yes,Yes,No,Perp Cumul Convertible Preferred Stock,1/31/08,3/17/06
CIN-A*,"Cincinnati Gas &amp; Electric Co.,",4%,Yes,No,No,No,Cumul Preferred Stock,N/A,3/10/06
CINUP*,"Cincinnati Gas &amp; Electric Co.,",4 3/4%,Yes,No,No,No,Cumul Preferred Stock,N/A,3/10/06
RBS-D*,"Royal Bank of Scotland,",8.2125%,No,No,No,No,Non-cumul Dollar Preference Shares Series D ADR,9/14/05,3/06/06
RBS-I*,"Royal Bank of Scotland,",8.00%,No,No,No,No,Non-cumul Dollar Preference Shares Series I ADR,9/30/04,3/06/06
DCELO*,"Dobson Communications Corp.,",13%,No,No,No,No,Senior Exch Preferred Stock,5/01/04,3/01/06
DCELP*,"Dobson Communications Corp.,",12 1/4%,No,No,No,No,Senior Exch Preferred Stock,1/15/03,3/01/06
PTMBP*,Potomac Electric Power Co.,$2.44,No,No,No,No,Series of 1957 Preferred Stock,N/A,3/01/06
POMPP*,Potomac Electric Power Co.,$2.28,No,No,No,No,Series of 1965 Preferred Stock,N/A,3/01/06
PMLCP*,Potomac Electric Power Co.,$2.46,No,No,No,No,Series of 1958 Preferred Stock,N/A,3/01/06
GDPAP*,"Goodrich Petroleum Corp.,",8%,No,No,Yes,No,Series A Convertible Preferred Stock,N/A,2/17/06
